Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_834.jpg;-6.642516;0;0;0.6987892;100.7746;87.11874;359.8765;50.0902;359.6957
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_884.jpg;-7.407618;0;0;0.6957281;100.8035;87.14943;359.8987;49.69739;359.6868
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_934.jpg;-5.222459;0;0;0.6944615;100.8224;87.16995;359.9112;49.48955;359.6903
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_22_983.jpg;-5.92956;0;0;0.6923394;100.8413;87.19048;359.9218;49.31814;359.6986
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_033.jpg;-8.224252;0;0;0.6902437;100.8701;87.22045;359.9322;48.95052;359.6951
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_083.jpg;-8.891438;0;0;0.6870322;100.8895;87.23994;359.9354;48.64189;359.6847
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_134.jpg;-6.652995;0;0;0.6858761;100.9185;87.26925;359.9395;48.24777;359.683
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_182.jpg;-7.354135;0;0;0.6837953;100.9376;87.28879;359.9406;48.03139;359.6881
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_233.jpg;-9.610754;0;0;0.6815637;100.9669;87.31729;359.9388;47.59917;359.6813
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_285.jpg;-11.8598;0.05056942;0;0.6780763;100.9963;87.34464;359.9261;47.0529;359.6658
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_332.jpg;-12.5673;0.2041419;0;0.6756184;101.0163;87.36246;359.9205;46.65622;359.6491
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_382.jpg;-10.37939;0.3500025;0;0.6749339;101.0367;87.38054;359.9276;46.21749;359.6355
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_433.jpg;-8.108344;0.1985994;0;0.6910557;101.0681;87.40884;359.9686;45.59443;359.6301
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_483.jpg;-5.848684;0.04795542;0;0.6872112;101.089;87.42792;-0.0030897;45.19791;359.6359
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_532.jpg;-3.631721;0.1957529;0;0.7037883;101.1202;87.45716;0.04459775;44.66421;359.6613
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_582.jpg;-1.34147;0.143223;0;0.7220142;101.1416;87.47748;0.09531875;44.49479;359.6849
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_633.jpg;0;0;0;0.7142387;101.173;87.50825;0.1555974;44.47623;359.7403
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_683.jpg;0;0.04897255;0;0.7129744;101.1937;87.52859;0.1860512;44.4813;359.7777
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_733.jpg;0;0.2008396;0;0.7101612;101.2247;87.55893;0.2202666;44.4977;359.8331
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_783.jpg;0;0.05267435;0;0.717652;101.2453;87.57911;0.2380428;44.49928;359.8691
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_832.jpg;0;0;0;0.7197049;101.2768;87.61002;0.2789164;44.50224;359.9217
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_884.jpg;0;0;0;0.717788;101.2974;87.63027;0.2899854;44.50225;359.955
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_935.jpg;-2.285565;0;0;0.7163144;101.3285;87.66006;0.2931584;44.43478;359.9925
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_23_983.jpg;-0.05494326;0;0;0.7140212;101.349;87.67977;0.2871765;44.38681;0.01572513
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_033.jpg;0;0;0;0.7124682;101.3793;87.70939;0.2676634;44.37964;0.05497734
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_083.jpg;0;0;0;0.7102041;101.3994;87.729;0.248515;44.37947;0.0787398
U:\RoboND\RoboND-Rover-Project\IMG\robocam_2018_06_04_11_42_24_133.jpg;0;0.09887823;0;0.6928526;101.4289;87.75781;0.1972461;44.38438;0.1102941
